Fy17,Fy18,Fy19,Fy20,Fy21,Name,Name (largecap alpha.csv),Sub-Sector,Ticker,Ticker (largecap alpha.csv),5y Cagr,Alpha,Beta,Close Price,Market Cap,No. of Shareholders,PE Ratio,Pledged Promoter Holdings,Promoter Holding Change – 3M,Total Revenue
,,,,,HDFC Asset Management Company Ltd,HDFC Asset Management Company Ltd,Asset Management,HDFCAMC,HDFCAMC,,17.27913944,,3074.35,65534.60159,456733,49.43172338,0,-0.039621747,2201.74
-28.55,-622.2,-160.74,-84.72,557.33,SRF Ltd,SRF Ltd,Textiles,SRF,SRF,43.48963675,49.50108273,1.072601711,10921.95,64707.31667,72127,54.01549049,0,0,8466.39
,,,,,Piramal Enterprises Ltd,Piramal Enterprises Ltd,Diversified Financials,PEL,PEL,8.123196267,-11.74788002,1.368326799,2683.5,63641.15716,128548,47.76645388,0,-2.538481329,13612.22
,,,,,Apollo Hospitals Enterprise Ltd,Apollo Hospitals Enterprise Ltd,Hospitals & Diagnostic Centres,APOLLOHOSP,APOLLOHOSP,26.54882399,43.7606684,0.970205505,4411.05,63424.13113,75153,421.7029995,4.660703124,0,10665.6
,,,,,Godrej Properties Ltd,Godrej Properties Ltd,Real Estate,GODREJPROP,GODREJPROP,45.7060375,32.31868096,1.444945398,2234.2,62107.9324,96586,-327.8674571,0,-0.006400143,1333.09
,,,,,Indian Railway Catering and Tourism Corporation Ltd,Indian Railway Catering and Tourism Corporation Ltd,Online Services,IRCTC,IRCTC,,,,3865.6,61849.6,579345,325.6956293,0,0,908.08
360.27,116.75,49.32,506.28,376.15,Gland Pharma Ltd,Gland Pharma Ltd,Pharmaceuticals,GLAND,GLAND,,,,3677.6,60399.86274,98203,60.58343054,0,-0.110811641,3597.66
3481.13,3813.05,2257.87,1964.04,3264.42,JSW Energy Ltd,JSW Energy Ltd,Power Generation,JSWENERGY,JSWENERGY,36.43114411,55.98116581,0.944018231,366.8,60270.05469,184286,75.76564425,16.96711788,-0.018627139,7176.8
335.8,740.8,775.3,571.6,1658.8,United Spirits Ltd,United Spirits Ltd,Alcoholic Beverages,MCDOWELL-N,MCDOWELL-N,12.38895697,6.470100144,0.882592762,826.95,60089.38854,183411,156.6459555,0.673971108,0,8204.2
,,,,,Mphasis Ltd,Mphasis Ltd,IT Services & Consulting,MPHASIS,MPHASIS,43.36420861,30.85328753,0.888657791,3154.7,59086.04167,73634,48.55854838,0,-0.039624466,9855.26
-2241.34,-1468.55,-4901.1,-5062.08,-7905.77,Muthoot Finance Ltd,Muthoot Finance Ltd,Consumer Finance,MUTHOOTFIN,MUTHOOTFIN,32.06378603,32.50346651,1.174590203,1463.45,58731.40458,168419,15.43775749,0,-0.000650362,11566.42
2769.07,3193.05,52.72,4230.33,3529.43,Hero MotoCorp Ltd,Hero MotoCorp Ltd,Two Wheelers,HEROMOTOCO,HEROMOTOCO,-3.285552846,-12.59487968,0.924688477,2920.55,58350.89508,287548,19.99859312,0,-0.001682725,31517.09
-1628,-130,224.5,2027.4,2439,Cadila Healthcare Ltd,Cadila Healthcare Ltd,Pharmaceuticals,CADILAHC,CADILAHC,6.417665172,9.030433842,0.476431536,544.35,55727.42843,331155,26.11896721,0,0,15139.4
1326,1426,781,6759,5090,UPL Ltd,UPL Ltd,Fertilizers & Agro Chemicals,UPL,UPL,9.499885986,4.707854254,1.073428171,716.8,54766.77829,193760,19.07585451,0,0,38994
,,,,,Bajaj Holdings and Investment Ltd,Bajaj Holdings and Investment Ltd,Asset Management,BAJAJHLDNG,BAJAJHLDNG,19.7350825,6.617013264,1.332577478,4798.9,53408.64251,59509,14.63318634,0,0,3908.66
2.64,289.72,256.41,443.66,532.05,Jubilant Foodworks Ltd,Jubilant Foodworks Ltd,Restaurants & Cafes,JUBLFOOD,JUBLFOOD,52.66141074,32.68584068,0.990429186,4001.6,52698.48897,109594,227.4820382,0.909304182,0,3384.95
522.03,102.9,1135.25,986.13,1675.54,Torrent Pharmaceuticals Ltd,Torrent Pharmaceuticals Ltd,Pharmaceuticals,TORNTPHARM,TORNTPHARM,13.54666622,19.385701,0.503123473,3107.85,52591.88304,64525,42.0103229,0,0,8061.48
,,,,,Bharat Electronics Ltd,Bharat Electronics Ltd,Electronic Equipments,BEL,BEL,12.55391246,24.90404416,0.67093861,210.35,51253.73256,349284,24.41886503,0,0,14233.65
,,,,,Balkrishna Industries Ltd,Balkrishna Industries Ltd,Tires & Rubber,BALKRISIND,BALKRISIND,41.68899383,14.92062383,0.96577546,2545.95,49217.58999,82072,41.79731301,0,0,5955.35
,,,,,L&T Technology Services Ltd,L&T Technology Services Ltd,Software Services,LTTS,LTTS,39.78190927,25.03702516,0.900612891,4608.05,48466.91786,125920,73.06937714,0,-0.007758566,5603.4
,,,,,IDBI Bank Ltd,IDBI Bank Ltd,Public Banks,IDBI,IDBI,-9.231737693,-12.5555306,1.422344639,44.7,48063.23772,580135,31.74649281,0,0,24803.63
,,,,,PI Industries Ltd,PI Industries Ltd,Diversified Chemicals,PIIND,PIIND,30.82246334,38.7835932,0.838655212,3114.55,47226.37575,101416,63.96637647,0,0,4706.3
,,,,,Macrotech Developers Ltd,Macrotech Developers Ltd,Real Estate,LODHA,LODHA,,,,1053.15,47109.32971,38910,1173.333243,29.19934012,0,5771.65
-173.71,-417.71,250.49,221.99,1069.99,Alkem Laboratories Ltd,Alkem Laboratories Ltd,Pharmaceuticals,ALKEM,ALKEM,16.36581778,17.4130923,0.534190699,3936.3,47064.37095,93540,29.69323475,0,-1.318688579,9098.22
,,,,,Bosch Ltd,Bosch Ltd,Auto Parts,BOSCHLTD,BOSCHLTD,-7.462798004,-23.08878618,0.856985698,15735.2,46408.83241,87788,96.28388467,0,0,10193.1
8803.41,-2671.07,2524.06,6479.81,-1167.07,Bandhan Bank Ltd,Bandhan Bank Ltd,Private Banks,BANDHANBNK,BANDHANBNK,,-34.43380012,2.215869986,286.65,46170.73347,478903,20.93474081,0,-0.001736683,14633.27
366.75,485.01,844.19,869.18,726.1,Colgate-Palmolive (India) Ltd,Colgate-Palmolive (India) Ltd,FMCG - Personal Products,COLPAL,COLPAL,11.48960096,9.977379381,0.340416321,1679.4,45677.26737,236684,44.11600206,0,0,4871.57
,,,,,Steel Authority of India Ltd,Steel Authority of India Ltd,Iron & Steel,SAIL,SAIL,17.74962793,6.279578345,1.871291864,110.35,45580.34656,713876,10.98816733,0,0,70771.69
,,,,,Cholamandalam Investment and Finance Company Ltd,Cholamandalam Investment and Finance Company Ltd,Consumer Finance,CHOLAFIN,CHOLAFIN,19.49210922,8.73125967,1.601287558,554.75,45528.13079,103134,29.93578028,0,-0.014485282,9583.78
,,,,,Hindustan Aeronautics Ltd,Hindustan Aeronautics Ltd,Aerospace & Defense Equipments,HAL,HAL,,14.89828754,1.205829993,1346.6,45028.62075,201792,13.90003913,0,0,23119.6
,,,,,Tata Power Company Ltd,Tata Power Company Ltd,Power Transmission & Distribution,TATAPOWER,TATAPOWER,12.97430838,8.809765874,1.149355237,140.05,44750.73036,1392982,39.69445117,0.658204541,0,34391.77
